
Cluster 1 Activity:
  Date: 2015-01-03
    Hour 03: 68
    Hour 04: 55
    Hour 05: 37
    Hour 06: 28
    Hour 07: 27
    Hour 08: 67
    Hour 09: 108
    Hour 10: 181
    Hour 11: 187
    Hour 12: 178
    Hour 13: 259
    Hour 14: 214
    Hour 15: 228
    Hour 16: 255
    Hour 17: 305
    Hour 18: 334
    Hour 19: 252
    Hour 20: 270
    Hour 21: 211
    Hour 22: 196
    Hour 23: 183
  Date: 2015-01-04
    Hour 00: 181
    Hour 01: 146
    Hour 02: 134
    Hour 03: 78
    Hour 04: 45
    Hour 05: 29
    Hour 06: 41
    Hour 07: 34
    Hour 08: 58
    Hour 09: 106
    Hour 10: 231
    Hour 11: 301
    Hour 12: 275
    Hour 13: 354
    Hour 14: 383
    Hour 15: 449
    Hour 16: 467
    Hour 17: 529
    Hour 18: 614
    Hour 19: 569
    Hour 20: 585
    Hour 21: 475
    Hour 22: 354
    Hour 23: 294
  Date: 2015-01-05
    Hour 00: 327
    Hour 01: 284
    Hour 02: 248
    Hour 03: 145
    Hour 04: 99
    Hour 05: 66
    Hour 06: 61
    Hour 07: 61
    Hour 08: 133
    Hour 09: 173
    Hour 10: 398
    Hour 11: 527
    Hour 12: 501
    Hour 13: 426
    Hour 14: 392
    Hour 15: 440
    Hour 16: 455
    Hour 17: 483
    Hour 18: 498
    Hour 19: 516
    Hour 20: 520
    Hour 21: 375
    Hour 22: 340
    Hour 23: 326
  Date: 2015-01-06
    Hour 00: 298
    Hour 01: 284
    Hour 02: 259
    Hour 03: 132
    Hour 04: 84
    Hour 05: 68
    Hour 06: 50
    Hour 07: 61
    Hour 08: 118
    Hour 09: 196
    Hour 10: 365
    Hour 11: 467
    Hour 12: 440
    Hour 13: 437
    Hour 14: 406
    Hour 15: 397
    Hour 16: 405
    Hour 17: 449
    Hour 18: 503
    Hour 19: 462
    Hour 20: 429
    Hour 21: 399
    Hour 22: 266
    Hour 23: 259
  Date: 2015-01-07
    Hour 00: 261
    Hour 01: 262
    Hour 02: 225
    Hour 03: 129
    Hour 04: 78
    Hour 05: 66
    Hour 06: 53
    Hour 07: 60
    Hour 08: 139
    Hour 09: 179
    Hour 10: 365
    Hour 11: 393
    Hour 12: 360
    Hour 13: 403
    Hour 14: 349
    Hour 15: 389
    Hour 16: 312
    Hour 17: 388
    Hour 18: 528
    Hour 19: 509
    Hour 20: 471
    Hour 21: 379
    Hour 22: 335
    Hour 23: 279

Cluster 2 Activity:
  Date: 2015-01-03
    Hour 03: 556
    Hour 04: 477
    Hour 05: 326
    Hour 06: 259
    Hour 07: 278
    Hour 08: 463
    Hour 09: 671
    Hour 10: 991
    Hour 11: 1444
    Hour 12: 1884
    Hour 13: 2099
    Hour 14: 2038
    Hour 15: 1849
    Hour 16: 1715
    Hour 17: 1475
    Hour 18: 1359
    Hour 19: 1463
    Hour 20: 1399
    Hour 21: 1516
    Hour 22: 1256
    Hour 23: 1151
  Date: 2015-01-04
    Hour 00: 1027
    Hour 01: 1003
    Hour 02: 1099
    Hour 03: 494
    Hour 04: 409
    Hour 05: 329
    Hour 06: 211
    Hour 07: 249
    Hour 08: 477
    Hour 09: 670
    Hour 10: 1040
    Hour 11: 1362
    Hour 12: 1713
    Hour 13: 2562
    Hour 14: 2990
    Hour 15: 2717
    Hour 16: 2528
    Hour 17: 2498
    Hour 18: 2266
    Hour 19: 2529
    Hour 20: 2970
    Hour 21: 2490
    Hour 22: 2505
    Hour 23: 2202
  Date: 2015-01-05
    Hour 00: 1753
    Hour 01: 1745
    Hour 02: 2074
    Hour 03: 1065
    Hour 04: 813
    Hour 05: 602
    Hour 06: 432
    Hour 07: 461
    Hour 08: 886
    Hour 09: 1312
    Hour 10: 2030
    Hour 11: 2465
    Hour 12: 2815
    Hour 13: 3204
    Hour 14: 3065
    Hour 15: 2544
    Hour 16: 2396
    Hour 17: 2381
    Hour 18: 2331
    Hour 19: 2585
    Hour 20: 2635
    Hour 21: 2844
    Hour 22: 2562
    Hour 23: 2226
  Date: 2015-01-06
    Hour 00: 1801
    Hour 01: 2009
    Hour 02: 2065
    Hour 03: 1010
    Hour 04: 844
    Hour 05: 630
    Hour 06: 440
    Hour 07: 512
    Hour 08: 911
    Hour 09: 1267
    Hour 10: 2149
    Hour 11: 2350
    Hour 12: 2751
    Hour 13: 3202
    Hour 14: 2858
    Hour 15: 2451
    Hour 16: 2475
    Hour 17: 2145
    Hour 18: 2024
    Hour 19: 2141
    Hour 20: 2097
    Hour 21: 2072
    Hour 22: 2133
    Hour 23: 1848
  Date: 2015-01-07
    Hour 00: 1621
    Hour 01: 1778
    Hour 02: 1991
    Hour 03: 969
    Hour 04: 857
    Hour 05: 564
    Hour 06: 459
    Hour 07: 560
    Hour 08: 943
    Hour 09: 1156
    Hour 10: 1652
    Hour 11: 2164
    Hour 12: 2437
    Hour 13: 2627
    Hour 14: 2781
    Hour 15: 2130
    Hour 16: 2041
    Hour 17: 1987
    Hour 18: 1963
    Hour 19: 2006
    Hour 20: 2340
    Hour 21: 2324
    Hour 22: 2272
    Hour 23: 1971

Cluster 3 Activity:
  Date: 2015-01-03
    Hour 03: 432
    Hour 04: 332
    Hour 05: 191
    Hour 06: 174
    Hour 07: 155
    Hour 08: 244
    Hour 09: 358
    Hour 10: 541
    Hour 11: 638
    Hour 12: 679
    Hour 13: 740
    Hour 14: 759
    Hour 15: 686
    Hour 16: 724
    Hour 17: 873
    Hour 18: 1064
    Hour 19: 976
    Hour 20: 941
    Hour 21: 813
    Hour 22: 761
    Hour 23: 750
  Date: 2015-01-04
    Hour 00: 669
    Hour 01: 663
    Hour 02: 723
    Hour 03: 449
    Hour 04: 325
    Hour 05: 200
    Hour 06: 155
    Hour 07: 158
    Hour 08: 287
    Hour 09: 521
    Hour 10: 860
    Hour 11: 918
    Hour 12: 814
    Hour 13: 1074
    Hour 14: 1419
    Hour 15: 1355
    Hour 16: 1476
    Hour 17: 1538
    Hour 18: 2019
    Hour 19: 1923
    Hour 20: 2096
    Hour 21: 1557
    Hour 22: 1353
    Hour 23: 1275
  Date: 2015-01-05
    Hour 00: 1208
    Hour 01: 1190
    Hour 02: 1312
    Hour 03: 845
    Hour 04: 604
    Hour 05: 410
    Hour 06: 336
    Hour 07: 295
    Hour 08: 542
    Hour 09: 942
    Hour 10: 1234
    Hour 11: 1587
    Hour 12: 1317
    Hour 13: 1418
    Hour 14: 1463
    Hour 15: 1474
    Hour 16: 1530
    Hour 17: 1685
    Hour 18: 2029
    Hour 19: 1965
    Hour 20: 1826
    Hour 21: 1657
    Hour 22: 1414
    Hour 23: 1327
  Date: 2015-01-06
    Hour 00: 1237
    Hour 01: 1337
    Hour 02: 1376
    Hour 03: 834
    Hour 04: 608
    Hour 05: 452
    Hour 06: 335
    Hour 07: 318
    Hour 08: 548
    Hour 09: 927
    Hour 10: 1429
    Hour 11: 1699
