
Cluster 1:
  Date: 2015-01-03
    Hour 03: 2656
    Hour 04: 1648
    Hour 05: 955
    Hour 06: 805
    Hour 07: 757
    Hour 08: 2027
    Hour 09: 3738
    Hour 10: 8225
    Hour 11: 7305
    Hour 12: 7218
    Hour 13: 7480
    Hour 14: 7056
    Hour 15: 6795
    Hour 16: 8033
    Hour 17: 9805
    Hour 18: 10314
    Hour 19: 10092
    Hour 20: 9340
    Hour 21: 8143
    Hour 22: 7303
    Hour 23: 8133
  Date: 2015-01-04
    Hour 00: 7302
    Hour 01: 5342
    Hour 02: 3432
    Hour 03: 2751
    Hour 04: 1412
    Hour 05: 884
    Hour 06: 892
    Hour 07: 992
    Hour 08: 2071
    Hour 09: 4562
    Hour 10: 9376
    Hour 11: 9234
    Hour 12: 8130
    Hour 13: 12836
    Hour 14: 13843
    Hour 15: 15931
    Hour 16: 15804
    Hour 17: 17999
    Hour 18: 19402
    Hour 19: 20889
    Hour 20: 19150
    Hour 21: 18233
    Hour 22: 13701
    Hour 23: 13731
  Date: 2015-01-05
    Hour 00: 14157
    Hour 01: 10764
    Hour 02: 7048
    Hour 03: 4960
    Hour 04: 2964
    Hour 05: 1995
    Hour 06: 1631
    Hour 07: 1727
    Hour 08: 4199
    Hour 09: 7631
    Hour 10: 15495
    Hour 11: 16776
    Hour 12: 15869
    Hour 13: 14572
    Hour 14: 14123
    Hour 15: 16041
    Hour 16: 15280
    Hour 17: 16461
    Hour 18: 16630
    Hour 19: 17843
    Hour 20: 16897
    Hour 21: 14419
    Hour 22: 12750
    Hour 23: 12281
  Date: 2015-01-06
    Hour 00: 13039
    Hour 01: 9343
    Hour 02: 6699
    Hour 03: 4530
    Hour 04: 2622
    Hour 05: 1686
    Hour 06: 1401
    Hour 07: 1674
    Hour 08: 4137
    Hour 09: 7581
    Hour 10: 13797
    Hour 11: 15133
    Hour 12: 14423
    Hour 13: 14111
    Hour 14: 13239
    Hour 15: 13599
    Hour 16: 13340
    Hour 17: 15097
    Hour 18: 17672
    Hour 19: 20929
    Hour 20: 19418
    Hour 21: 17668
    Hour 22: 14899
    Hour 23: 13127
  Date: 2015-01-07
    Hour 00: 13585
    Hour 01: 9966
    Hour 02: 7179
    Hour 03: 5163
    Hour 04: 2776
    Hour 05: 1949
    Hour 06: 1626
    Hour 07: 1795
    Hour 08: 4142
    Hour 09: 9067
    Hour 10: 14156
    Hour 11: 14834
    Hour 12: 14398
    Hour 13: 13854
    Hour 14: 12824
    Hour 15: 14050
    Hour 16: 14439
    Hour 17: 15394
    Hour 18: 18349
    Hour 19: 20063
    Hour 20: 18357
    Hour 21: 16141
    Hour 22: 14598
    Hour 23: 13402

Cluster 2:
  Date: 2015-01-03
    Hour 03: 24794
    Hour 04: 15888
    Hour 05: 10599
    Hour 06: 8439
    Hour 07: 9620
    Hour 08: 19428
    Hour 09: 33573
    Hour 10: 54112
    Hour 11: 76186
    Hour 12: 92630
    Hour 13: 89900
    Hour 14: 86437
    Hour 15: 83271
    Hour 16: 77027
    Hour 17: 68646
    Hour 18: 59849
    Hour 19: 71730
    Hour 20: 72840
    Hour 21: 72860
    Hour 22: 65009
    Hour 23: 63220
  Date: 2015-01-04
    Hour 00: 56880
    Hour 01: 48644
    Hour 02: 32481
    Hour 03: 20380
    Hour 04: 13387
    Hour 05: 9714
    Hour 06: 6685
    Hour 07: 9051
    Hour 08: 19004
    Hour 09: 38375
    Hour 10: 59851
    Hour 11: 73174
    Hour 12: 80024
    Hour 13: 123249
    Hour 14: 143940
    Hour 15: 136347
    Hour 16: 136311
    Hour 17: 133401
    Hour 18: 113903
    Hour 19: 128011
    Hour 20: 137031
    Hour 21: 134740
    Hour 22: 130714
    Hour 23: 122059
  Date: 2015-01-05
    Hour 00: 112807
    Hour 01: 90244
    Hour 02: 67588
    Hour 03: 42856
    Hour 04: 28033
    Hour 05: 18584
    Hour 06: 12433
    Hour 07: 16374
    Hour 08: 37381
    Hour 09: 70525
    Hour 10: 116076
    Hour 11: 137410
    Hour 12: 149716
    Hour 13: 152876
    Hour 14: 148254
    Hour 15: 140659
    Hour 16: 138913
    Hour 17: 127727
    Hour 18: 114232
    Hour 19: 128234
    Hour 20: 129087
    Hour 21: 137811
    Hour 22: 126783
    Hour 23: 122567
  Date: 2015-01-06
    Hour 00: 107490
    Hour 01: 88179
    Hour 02: 61949
    Hour 03: 39351
    Hour 04: 25834
    Hour 05: 18129
    Hour 06: 12570
    Hour 07: 16593
    Hour 08: 36708
    Hour 09: 75196
    Hour 10: 115797
    Hour 11: 134060
    Hour 12: 144917
    Hour 13: 146228
    Hour 14: 136611
    Hour 15: 131159
    Hour 16: 135993
    Hour 17: 135499
    Hour 18: 115169
    Hour 19: 131438
    Hour 20: 141410
    Hour 21: 141262
    Hour 22: 134714
    Hour 23: 127770
  Date: 2015-01-07
    Hour 00: 116171
    Hour 01: 96004
    Hour 02: 67884
    Hour 03: 44283
    Hour 04: 28684
    Hour 05: 18372
    Hour 06: 14606
    Hour 07: 18338
    Hour 08: 40174
    Hour 09: 79131
    Hour 10: 128764
    Hour 11: 164818
    Hour 12: 168999
    Hour 13: 160899
    Hour 14: 152080
    Hour 15: 155222
    Hour 16: 151985
    Hour 17: 144559
    Hour 18: 121928
    Hour 19: 133340
    Hour 20: 143079
    Hour 21: 152683
    Hour 22: 137987
    Hour 23: 129891

Cluster 3:
  Date: 2015-01-03
    Hour 03: 13552
    Hour 04: 8320
    Hour 05: 5340
    Hour 06: 4498
    Hour 07: 4761
    Hour 08: 8154
    Hour 09: 15966
    Hour 10: 23672
    Hour 11: 27252
    Hour 12: 25808
    Hour 13: 23900
    Hour 14: 24587
    Hour 15: 23337
    Hour 16: 24733
    Hour 17: 28380
    Hour 18: 34114
    Hour 19: 35500
    Hour 20: 33770
    Hour 21: 30183
    Hour 22: 29551
    Hour 23: 29493
  Date: 2015-01-04
    Hour 00: 27564
    Hour 01: 23215
    Hour 02: 16194
    Hour 03: 12195
    Hour 04: 8018
    Hour 05: 5067
    Hour 06: 3846
    Hour 07: 4781
    Hour 08: 8798
    Hour 09: 22767
    Hour 10: 31049
    Hour 11: 29423
    Hour 12: 27604
    Hour 13: 40236
    Hour 14: 48379
    Hour 15: 48997
    Hour 16: 52104
    Hour 17: 55893
    Hour 18: 64566
    Hour 19: 70976
    Hour 20: 72247
    Hour 21: 65809
    Hour 22: 56434
    Hour 23: 59061
  Date: 2015-01-05
    Hour 00: 55188
    Hour 01: 47782
    Hour 02: 33117
    Hour 03: 25626
    Hour 04: 16038
    Hour 05: 9989
    Hour 06: 7980
    Hour 07: 8791
    Hour 08: 16709
    Hour 09: 36585
    Hour 10: 54350
    Hour 11: 59069
    Hour 12: 52506
    Hour 13: 49902
    Hour 14: 52299
    Hour 15: 53131
    Hour 16: 55527
    Hour 17: 59141
    Hour 18: 66237
    Hour 19: 72572
    Hour 20: 66914
    Hour 21: 59740
    Hour 22: 53097
    Hour 23: 52963
  Date: 2015-01-06
    Hour 00: 52640
    Hour 01: 46156
    Hour 02: 31490
    Hour 03: 25015
    Hour 04: 14630
    Hour 05: 9567
    Hour 06: 7810
    Hour 07: 8609
    Hour 08: 16425
    Hour 09: 37710
    Hour 10: 52532
    Hour 11: 57541
    Hour 12: 51746
    Hour 13: 50155
    Hour 14: 50065
    Hour 15: 51331
    Hour 16: 51189
    Hour 17: 57709
    Hour 18: 65386
    Hour 19: 75903
    Hour 20: 67506
    Hour 21: 69722
    Hour 22: 60933
    Hour 23: 56083
  Date: 2015-01-07
    Hour 00: 53761
    Hour 01: 45037
    Hour 02: 32145
    Hour 03: 23000
    Hour 04: 14626
    Hour 05: 10159
    Hour 06: 8064
    Hour 07: 9633
